Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Population,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Churn Label,high usage,Extra Data User
0094-OIFMO,Female,Senior,No,Yes,No,Yes,1,United States,California,North Hollywood,57146,No,0,11,Offer D,Yes,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1,True,True
9947-OTFQU,Male,Senior,No,Yes,No,No,0,United States,California,Covina,33817,No,0,15,Offer D,Yes,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1,True,False
9514-JDSKI,Male,Senior,No,Yes,Yes,No,0,United States,California,El Monte,62660,Yes,1,1,Offer E,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1,False,False
7273-TEFQD,Male,Senior,No,Yes,No,No,0,United States,California,La Puente,30802,No,0,3,Offer E,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,1,True,False
3606-TWKGI,Male,Senior,No,Yes,No,No,0,United States,California,Rowland Heights,46342,No,0,13,Offer D,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1,False,True
4385-GZQXV,Female,Senior,No,Yes,No,No,0,United States,California,Ontario,49474,No,0,16,Offer D,Yes,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1,False,False
3488-PGMQJ,Male,Senior,No,Yes,No,No,0,United States,California,Alpine,16486,No,0,8,No Offer,Yes,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,1,False,False
7534-BFESC,Male,Senior,No,Yes,No,No,0,United States,California,San Diego,34902,No,0,24,Offer C,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1,False,False
8098-LLAZX,Female,Senior,No,Yes,No,No,0,United States,California,San Diego,34902,No,0,4,Offer E,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1,False,False
0265-EDXBD,Male,Senior,No,Yes,Yes,No,0,United States,California,San Diego,34902,Yes,2,32,Offer C,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,1,False,False
2840-XANRC,Male,Senior,No,Yes,Yes,No,0,United States,California,San Diego,34902,Yes,1,24,Offer C,Yes,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,1,False,False
5020-ZSTTY,Female,Senior,No,Yes,No,No,0,United States,California,San Diego,34902,No,0,54,Offer B,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,1,False,False
5804-LEPIM,Female,Senior,No,Yes,No,No,0,United States,California,San Diego,34902,No,0,2,Offer E,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,1,False,False
0623-IIHUG,Female,Senior,No,Yes,No,No,0,United States,California,San Diego,34902,No,0,21,No Offer,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,1,False,False
9057-MSWCO,Male,Senior,No,Yes,Yes,No,0,United States,California,San Diego,34902,No,0,27,No Offer,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,1,False,True
4895-TMWIR,Male,Senior,No,Yes,Yes,No,0,United States,California,San Diego,34902,Yes,1,11,No Offer,Yes,No,No internet type,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,1,False,False
0533-BNWKF,Female,Senior,No,Yes,Yes,No,0,United States,California,San Diego,34902,Yes,2,55,Offer B,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,1,True,True
0334-GDDSO,Male,Senior,No,Yes,No,No,0,United States,California,San Diego,34902,No,0,3,Offer E,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,1,False,False
5564-NEMQO,Female,Senior,No,Yes,No,No,0,United States,California,Thermal,17018,No,0,1,Offer E,Yes,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,1,False,True
6235-VDHOM,Female,Senior,No,Yes,No,No,0,United States,California,Riverside,63999,No,0,5,Offer E,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,1,True,False
5609-CEBID,Female,Senior,No,Yes,No,No,0,United States,California,Hemet,39264,No,0,20,No Offer,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1,False,True
5956-VKDTT,Female,Senior,No,Yes,Yes,No,0,United States,California,Moreno Valley,46214,Yes,4,5,Offer E,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,1,True,False
0257-ZESQC,Female,Senior,No,Yes,Yes,No,0,United States,California,Perris,26357,Yes,2,27,No Offer,Yes,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1,True,False
2865-TCHJW,Female,Senior,No,Yes,No,No,0,United States,California,Anaheim,36301,No,0,4,No Offer,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,1,True,False
5192-EBGOV,Female,Senior,No,Yes,No,No,0,United States,California,Brea,1408,No,0,1,No Offer,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,1,True,False
3419-SNJJD,Female,Senior,No,Yes,Yes,No,0,United States,California,Yorba Linda,20893,Yes,3,65,Offer B,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,1,True,False
4554-YGZIH,Male,Senior,No,Yes,Yes,No,0,United States,California,Summerland,576,Yes,3,49,Offer B,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,1,False,False
5099-BAILX,Male,Senior,No,Yes,Yes,No,0,United States,California,Santa Barbara,31727,Yes,1,43,Offer B,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,1,False,False
4913-EHYUI,Male,Senior,No,Yes,Yes,No,0,United States,California,Alpaugh,1054,No,0,56,Offer B,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,1,False,False
1626-ERCMM,Male,Senior,No,Yes,Yes,No,0,United States,California,Camp Nelson,191,Yes,7,20,No Offer,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1,False,False
5644-PDMZC,Female,Senior,No,Yes,No,No,0,United States,California,Delano,37280,No,0,2,No Offer,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,1,False,False
4160-AMJTL,Female,Senior,No,Yes,No,No,0,United States,California,Fellows,626,No,0,8,No Offer,Yes,No,No internet type,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,1,False,False
0823-HSCDJ,Male,Senior,No,Yes,No,No,0,United States,California,Temecula,46171,No,0,52,No Offer,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,1,False,True
0067-DKWBL,Male,Senior,No,Yes,No,No,0,United States,California,San Diego,47224,No,0,2,No Offer,Yes,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,1,True,False
5244-IRFIH,Male,Senior,No,Yes,Yes,No,0,United States,California,San Diego,47224,Yes,1,33,No Offer,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,1,False,False
2684-EIWEO,Female,Senior,No,Yes,No,No,0,United States,California,San Diego,47224,No,0,30,No Offer,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,1,False,False
6683-VLCTZ,Male,Senior,No,Yes,No,No,0,United States,California,San Diego,47224,No,0,20,No Offer,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1,False,True
0691-IFBQW,Female,Senior,No,Yes,No,No,0,United States,California,Biola,807,No,0,46,No Offer,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,1,False,False
3643-AHCFP,Male,Senior,No,Yes,Yes,No,0,United States,California,Selma,26213,Yes,1,7,No Offer,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,1,False,False
9231-ZJYAM,Female,Senior,No,Yes,No,No,0,United States,California,Squaw Valley,3146,No,0,4,No Offer,Yes,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,1,False,False
0727-BMPLR,Female,Senior,No,Yes,No,No,0,United States,California,Fresno,35790,No,0,55,No Offer,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,1,False,True
0947-MUGVO,Male,Senior,No,Yes,Yes,No,0,United States,California,Jolon,254,Yes,1,20,No Offer,Yes,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1,True,False
0781-LKXBR,Male,Senior,No,Yes,No,No,0,United States,California,San Francisco,28998,No,0,9,No Offer,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,1,False,False
1907-UBQFC,Male,Senior,No,Yes,No,No,0,United States,California,San Francisco,13723,No,0,10,No Offer,Yes,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,1,True,True
6513-EECDB,Male,Senior,No,Yes,Yes,No,0,United States,California,San Francisco,30587,No,0,1,No Offer,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,1,False,False
7074-IEVOJ,Female,Senior,No,Yes,No,No,0,United States,California,San Francisco,1458,No,0,3,No Offer,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,1,False,False
4750-ZRXIU,Female,Senior,No,Yes,No,No,0,United States,California,Palo Alto,1723,No,0,4,No Offer,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,1,False,False
7028-DVOIQ,Male,Senior,No,Yes,No,No,0,United States,California,Birds Landing,138,No,0,35,No Offer,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,1,False,True
4208-UFFGW,Male,Senior,No,Yes,No,No,0,United States,California,Byron,10153,No,0,2,Offer E,Yes,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,1,False,False
9889-TMAHG,Male,Senior,No,Yes,No,No,0,United States,California,Fremont,46917,No,0,8,No Offer,Yes,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,1,True,False
8919-FYFQZ,Male,Senior,No,Yes,Yes,No,0,United States,California,Livermore,75929,Yes,2,44,No Offer,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1,True,False
6646-QVXLR,Male,Senior,No,Yes,Yes,No,0,United States,California,Napa,63947,Yes,1,62,No Offer,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,1,False,False
9369-XFEHK,Female,Senior,No,Yes,Yes,No,0,United States,California,Pleasanton,36669,Yes,1,33,No Offer,Yes,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,1,False,False
1374-DMZUI,Female,Senior,No,Yes,No,No,0,United States,California,San Ramon,44078,No,0,4,Offer E,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,1,True,False
1989-PRJHP,Male,Senior,No,Yes,Yes,No,0,United States,California,Pleasanton,28568,Yes,1,27,No Offer,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1,True,False
4822-RVYBB,Male,Senior,No,Yes,No,No,0,United States,California,Berkeley,21205,No,0,8,Offer E,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,1,True,False
4184-TJFAN,Female,Senior,No,Yes,Yes,No,0,United States,California,Berkeley,11889,Yes,1,3,Offer E,Yes,Yes,Fiber Optic,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,1,False,False
4145-UQXUQ,Female,Senior,No,Yes,No,No,0,United States,California,Berkeley,8157,No,0,8,Offer E,Yes,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,1,False,False
1236-WFCDV,Male,Senior,No,Yes,No,No,0,United States,California,Greenbrae,12010,No,0,14,No Offer,Yes,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,1,True,False
1271-SJBGZ,Male,Senior,No,Yes,No,No,0,United States,California,Forest Knolls,1025,No,0,12,No Offer,No,Yes,DSL,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,1,False,False
4441-NIHPT,Female,Senior,No,Yes,No,No,0,United States,California,Freedom,4753,No,0,13,No Offer,Yes,Yes,Fiber Optic,21,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,1,True,False
8999-BOHSE,Female,Senior,No,Yes,No,No,0,United States,California,Gilroy,49968,No,0,11,No Offer,Yes,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1,True,False
7029-RPUAV,Male,Senior,No,Yes,Yes,No,0,United States,California,Los Gatos,13290,Yes,1,17,No Offer,Yes,Yes,Cable,16,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1,False,False
8111-SLLHI,Male,Senior,No,Yes,Yes,No,0,United States,California,San Jose,32804,Yes,1,39,No Offer,Yes,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,1,True,False
5293-WXJAK,Female,Senior,No,Yes,Yes,No,0,United States,California,San Jose,15798,Yes,5,11,No Offer,Yes,Yes,Fiber Optic,27,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.05,1,True,False
4086-YQSNZ,Female,Senior,No,Yes,Yes,No,0,United States,California,Glencoe,21,Yes,1,3,Offer E,Yes,Yes,Fiber Optic,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,1,False,False
8399-YNDCH,Male,Senior,No,Yes,No,No,0,United States,California,Columbia,2144,No,0,21,No Offer,Yes,Yes,DSL,14,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1,False,False
5565-FILXA,Female,Senior,No,Yes,No,No,0,United States,California,Escondido,48690,No,0,16,No Offer,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,1,False,False
4187-CINZD,Female,Senior,No,Yes,No,No,0,United States,California,Lakewood,30173,No,0,46,No Offer,Yes,Yes,Fiber Optic,30,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,Credit Card,95.25,1,True,False
6818-WOBHJ,Female,Senior,No,Yes,Yes,No,0,United States,California,Fulton,476,Yes,1,68,Offer A,Yes,Yes,Fiber Optic,24,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.6,1,True,False
9134-CEQMF,Male,Senior,No,Yes,Yes,No,0,United States,California,Nice,2223,Yes,1,7,Offer E,Yes,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,1,True,False
8519-IMDHU,Male,Senior,No,Yes,Yes,No,0,United States,California,Alderpoint,261,Yes,1,15,No Offer,Yes,Yes,Cable,22,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,1,True,False
3372-KWFBM,Male,Senior,No,Yes,No,No,0,United States,California,Bayside,1689,No,0,16,No Offer,Yes,Yes,Fiber Optic,22,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.6,1,True,False
7206-GZCDC,Female,Senior,No,Yes,No,No,0,United States,California,Loleta,1447,No,0,1,Offer E,Yes,Yes,Cable,18,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,1,False,False
1768-ZAIFU,Female,Senior,No,Yes,No,No,0,United States,California,Rio Dell,3284,No,0,1,No Offer,No,Yes,Cable,5,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.2,1,False,False
3793-MMFUH,Female,Senior,No,Yes,No,No,0,United States,California,Davis,648,No,0,13,No Offer,Yes,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,1,True,False
6567-HOOPW,Female,Senior,No,Yes,No,No,0,United States,California,Folsom,51855,No,0,1,No Offer,Yes,Yes,Fiber Optic,24,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.2,1,True,False
8621-MNIHH,Female,Senior,No,Yes,Yes,No,0,United States,California,Madison,844,Yes,1,34,No Offer,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,1,False,False
5419-CONWX,Female,Senior,No,Yes,No,No,0,United States,California,Pleasant Grove,901,No,0,4,No Offer,Yes,Yes,Fiber Optic,10,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.8,1,False,False
7024-OHCCK,Female,Senior,No,Yes,No,No,0,United States,California,Sheridan,1219,No,0,2,No Offer,Yes,Yes,Fiber Optic,18,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,1,False,False
5357-TZHPP,Male,Senior,No,Yes,No,No,0,United States,California,Wheatland,3600,No,0,9,No Offer,Yes,Yes,Fiber Optic,18,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,84.4,1,False,False
0506-LVNGN,Female,Senior,No,Yes,No,No,0,United States,California,Rancho Cordova,299,No,0,5,No Offer,Yes,Yes,Fiber Optic,9,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.55,1,False,False
9809-IMGCQ,Male,Senior,No,Yes,No,No,0,United States,California,Canyon Dam,86,No,0,22,Offer D,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,96.7,1,False,True
3254-YRILK,Male,Senior,No,Yes,No,No,0,United States,California,Dobbins,614,No,0,19,Offer D,Yes,Yes,Fiber Optic,9,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.2,1,False,False
0529-ONKER,Male,Senior,No,Yes,No,No,0,United States,California,Forest Ranch,1351,No,0,15,Offer D,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.65,1,False,False
5240-IJOQT,Male,Senior,No,Yes,No,No,0,United States,California,Grass Valley,17922,No,0,1,No Offer,Yes,Yes,Fiber Optic,20,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,1,False,False
0661-XEYAN,Female,Senior,No,Yes,No,No,0,United States,California,Nevada City,17269,No,0,1,No Offer,No,Yes,DSL,26,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,25.8,1,True,True
2660-EMUBI,Male,Senior,No,Yes,No,No,0,United States,California,Escondido,48690,No,0,10,Offer D,Yes,Yes,Fiber Optic,14,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.35,1,False,False
7675-OZCZG,Female,Senior,No,Yes,No,No,0,United States,California,Fallbrook,42239,No,0,3,No Offer,Yes,Yes,DSL,6,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,45.0,1,False,True
9391-EOYLI,Male,Senior,No,Yes,Yes,No,0,United States,California,Lewiston,1845,Yes,1,12,Offer D,Yes,Yes,Fiber Optic,19,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.45,1,False,False
2761-OCIAX,Male,Senior,No,Yes,No,No,0,United States,California,Palo Cedro,4931,No,0,2,No Offer,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,1,False,False
3068-OMWZA,Male,Senior,No,Yes,No,No,0,United States,California,Round Mountain,459,No,0,1,No Offer,Yes,Yes,Fiber Optic,20,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,1,False,True
4154-AQUGT,Male,Senior,No,Yes,Yes,No,0,United States,California,San Diego,28201,Yes,1,13,Offer D,Yes,Yes,Fiber Optic,5,No,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.05,1,False,False
8017-LXHFA,Female,Senior,No,Yes,No,No,0,United States,California,San Diego,28201,No,0,23,Offer D,Yes,Yes,Fiber Optic,23,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,1,True,False
4248-QPAVC,Female,Senior,No,Yes,Yes,No,0,United States,California,San Diego,28201,Yes,1,17,Offer D,Yes,Yes,Fiber Optic,6,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,1,False,False
4690-LLKUA,Male,Senior,No,Yes,No,No,0,United States,California,San Diego,28201,No,0,17,No Offer,Yes,Yes,DSL,2,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.05,1,False,False
9490-DFPMD,Female,Senior,No,Yes,No,No,0,United States,California,San Diego,28201,No,0,42,No Offer,Yes,Yes,Fiber Optic,17,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.65,1,False,False
8580-AECUZ,Male,Senior,No,Yes,No,No,0,United States,California,San Diego,28201,No,0,1,No Offer,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.1,1,False,False
5047-LHVLY,Male,Senior,No,Yes,No,No,0,United States,California,San Diego,4258,No,0,1,Offer E,Yes,Yes,Cable,12,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,50.15,1,False,False
8375-DKEBR,Female,Senior,No,Yes,No,No,0,United States,California,Hermosa Beach,18693,No,0,1,Offer E,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,1,False,False
